Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Rairang Hydropower Development Company Ltd.,104,267.00,255.00,260.00,19945.00,5174385.00,253.00,7.00 
Rastriya Beema Company Limited,181,16000.00,15000.00,15990.00,4746.00,74343068.00,15102.00,888.00 
Rastriya Beema Company Limited Promoter Share,104,15500.00,14400.00,15450.00,6454.00,96421700.00,14800.00,650.00 
RASUWAGADHI HYDROPOWER COMPANY LIMITED,252,221.00,214.00,221.00,57307.00,12507146.00,217.00,4.00 
Reliance Finance Ltd.,57,185.00,172.00,174.00,19947.00,3505336.00,179.00,-5.00 
Reliance Life Insurance Limited,1056,614.00,593.00,613.00,24030.00,14515045.00,604.00,9.00 
Ridi Hydropower Development Company Ltd.,120,194.00,175.00,180.00,39217.00,7207004.00,185.00,-5.00 
RMDC Laghubitta Bittiya Sanstha Ltd.,191,966.00,920.00,945.00,37222.00,35139440.00,920.00,25.00 
RSDC Laghubitta Bittiya Sanstha Ltd.,49,583.00,574.00,583.00,5004.00,2890641.00,583.00,0.00 
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,38,914.00,864.00,880.00,1989.00,1743273.00,932.00,-52.00 
Sadhana Laghubitta Bittiya Sanstha Limited,82,910.00,891.00,896.00,5505.00,4925395.00,904.00,-8.00 
Sagarmatha Insurance Co. Ltd.,132,973.00,937.00,973.00,18821.00,18041966.00,938.00,35.00 
Salt Trading Corporation,105,6587.00,6108.00,6587.00,4067.00,26743994.00,5989.00,598.00 
Samriddhi Finance Company Limited,29,145.00,138.00,140.00,4283.00,605287.00,139.00,1.00 
Samudayik Laghubitta Bittiya Sanstha Limited,29,784.00,777.00,783.00,1560.00,1216790.00,790.00,-7.00 
Sana Kisan Bikas Bank Ltd,98,1475.00,1442.00,1475.00,11519.00,16808739.00,1461.00,14.00 
Sanima Bank Limited,253,322.00,308.00,316.00,62997.00,19832693.00,320.00,-4.00 
Sanima Bank Limited Debenture,2,1054.00,1045.00,1054.00,74.00,77780.00,1035.00,19.00 
Sanima Equity Fund,71,11.67,11.24,11.40,432700.00,5001402.00,11.23,0.17 
Sanima General Insurance Limited,4718,570.00,544.00,558.00,51171.00,28309098.00,570.00,-12.00 
Sanima Mai Hydropower Ltd.,167,359.00,352.00,354.00,70843.00,25097722.00,356.00,-2.00 
SANJEN JALAVIDHYUT COMPANY LIMITED,228,207.00,200.00,204.00,40690.00,8258520.00,206.00,-2.00 
Saptakoshi Development Bank Ltd,13,165.00,164.00,164.00,2810.00,460948.00,164.00,0.00 
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,28,929.00,900.00,900.00,2995.00,2707084.00,911.00,-11.00 
Shangrila Development Bank Ltd.,52,184.00,180.00,182.00,33799.00,6116253.00,183.00,-1.00 
Shikhar Insurance Co. Ltd.,604,1615.00,1475.00,1603.00,103006.00,162605956.00,1479.00,124.00 
Shine Resunga Development Bank Ltd.,276,268.00,257.00,260.00,63424.00,16554647.00,267.00,-7.00 
Shiva Shree Hydropower Ltd,99,161.00,150.00,153.00,29940.00,4579520.00,158.00,-5.00 
SHIVAM CEMENTS LTD,1036,915.00,832.00,909.00,254631.00,227954002.00,832.00,77.00 
Shree Investment Finance Co. Ltd.,17,204.00,200.00,204.00,8181.00,1641530.00,204.00,0.00 
Siddhartha Bank Limited,207,340.00,328.00,333.00,51169.00,17076047.00,342.00,-9.00 
Siddhartha Equity Fund,52,10.90,10.35,10.59,266367.00,2868979.53,10.40,0.19 
Siddhartha Insurance Ltd.,171,833.00,790.00,829.00,38716.00,31661906.00,801.00,28.00 
Sindhu Bikash Bank Ltd,81,173.00,161.00,167.00,40900.00,6855782.00,176.00,-9.00 
Soaltee Hotel Limited,169,204.00,192.00,202.00,59816.00,11962704.00,201.00,1.00 
Standard Chartered Bank Limited,209,640.00,628.00,633.00,26437.00,16699347.00,644.00,-11.00 
Summit Laghubitta Bittiya Sanstha Limited,43,900.00,881.00,888.00,6437.00,5721363.00,911.00,-23.00 
Sunrise Bank Limited,187,255.00,248.00,253.00,56401.00,14221971.00,259.00,-6.00 
Sunrise First Mutual Fund,9,11.00,10.50,11.00,112950.00,1187442.50,10.69,0.31 
Support Microfinance Bittiya Sanstha Ltd.,17,891.00,883.00,883.00,492.00,436280.00,874.00,9.00 
Surya Life Insurance Company Limited,385,680.00,644.00,680.00,91513.00,60831288.00,645.00,35.00 
Suryodaya Laghubitta Bittiya Sanstha Ltd.,15,934.00,916.00,927.00,520.00,483083.00,931.00,-4.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,116,1436.00,1395.00,1436.00,14878.00,20919010.00,1395.00,41.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,12,1030.00,990.00,1025.00,299.00,303766.00,1028.00,-3.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,46,897.00,879.00,884.00,6464.00,5707312.00,876.00,8.00 
Synergy Power Development Ltd.,155,234.00,220.00,230.00,85859.00,19233681.00,230.00,0.00 
Taragaon Regency Hotel Limited,121,282.00,263.00,280.00,44776.00,12332479.00,271.00,9.00 
Unilever Nepal Limited,15,18500.00,18140.00,18495.00,210.00,3878940.00,18500.00,-5.00 
Union Hydropower Limited,65,129.00,123.00,124.00,22163.00,2761127.00,128.00,-4.00 
United Finance Ltd.,8,238.00,235.00,235.00,1250.00,295180.00,238.00,-3.00 
United Insurance Co. (Nepal) Ltd.,325,473.00,442.00,468.00,75304.00,34875313.00,460.00,8.00 
United Modi Hydropower Ltd.,217,182.00,162.00,164.00,92330.00,15271805.00,174.00,-10.00 
UNIVERSAL POWER COMPANY LTD,223,148.00,141.00,143.00,82765.00,11862651.00,149.00,-6.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,24,1144.00,1111.00,1111.00,1178.00,1324346.00,1125.00,-14.00 
Upper Tamakoshi Hydropower Ltd,314,297.00,292.00,293.00,74377.00,21904616.00,297.00,-4.00 
Vijaya laghubitta Bittiya Sanstha Ltd.,19,940.00,926.00,939.00,1675.00,1565564.00,948.00,-9.00 
