Date,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
2020-11-03,343,993.0,963.0,970.0,52372.0,51027200.0,979.0,-9.00 
2020-11-02,486,979.0,935.0,979.0,70539.0,67611477.0,938.0,41.00 
2020-11-01,312,938.0,915.0,938.0,40935.0,37951668.0,914.0,24.00 
2020-10-29,332,920.0,885.0,914.0,52447.0,47352915.0,893.0,21.00 
2020-10-28,119,898.0,864.0,893.0,18712.0,16472466.0,866.0,27.00 
2020-10-22,52,870.0,859.0,866.0,7084.0,6122059.0,867.0,-1.00 
2020-10-21,77,867.0,855.0,867.0,9515.0,8182117.0,850.0,17.00 
2020-10-20,41,859.0,850.0,850.0,4863.0,4147909.0,850.0,0.00 
2020-10-19,41,852.0,844.0,850.0,3881.0,3293845.0,847.0,3.00 
2020-10-18,58,847.0,840.0,847.0,4325.0,3651307.0,849.0,-2.00 
2020-10-15,56,867.0,848.0,849.0,3454.0,2936630.0,850.0,-1.00 
2020-10-14,70,860.0,848.0,850.0,6941.0,5908692.0,851.0,-1.00 
2020-10-13,53,865.0,851.0,851.0,5049.0,4308353.0,860.0,-9.00 
2020-10-12,35,860.0,850.0,860.0,4565.0,3900828.0,852.0,8.00 
2020-10-11,62,862.0,846.0,852.0,5789.0,4943173.0,852.0,0.00 
2020-10-08,71,868.0,848.0,852.0,13651.0,11667745.0,850.0,2.00 
2020-10-07,129,864.0,848.0,850.0,14491.0,12347919.0,860.0,-10.00 
2020-10-06,56,875.0,853.0,860.0,4243.0,3642796.0,863.0,-3.00 
2020-10-05,52,874.0,860.0,863.0,6515.0,5648211.0,871.0,-8.00 
2020-10-04,42,872.0,863.0,871.0,3285.0,2848270.0,865.0,6.00 
2020-10-01,62,870.0,851.0,865.0,7562.0,6526183.0,855.0,10.00 
2020-09-30,64,855.0,840.0,855.0,5891.0,4969949.0,855.0,0.00 
2020-09-29,127,870.0,855.0,855.0,18842.0,16198247.0,870.0,-15.00 
2020-09-28,41,875.0,866.0,870.0,4331.0,3765738.0,873.0,-3.00 
2020-09-27,75,879.0,870.0,873.0,9735.0,8509640.0,876.0,-3.00 
2020-09-24,66,882.0,875.0,876.0,5952.0,5224289.0,878.0,-2.00 
2020-09-23,80,878.0,864.0,878.0,11606.0,10122549.0,869.0,9.00 
2020-09-22,122,885.0,869.0,869.0,21321.0,18658165.0,885.0,-16.00 
2020-09-21,95,893.0,876.0,885.0,15471.0,13688612.0,890.0,-5.00 
2020-09-20,99,905.0,880.0,890.0,11627.0,10358516.0,891.0,-1.00 
2020-09-17,178,894.0,868.0,891.0,26239.0,23200039.0,876.0,15.00 
2020-09-16,65,881.0,871.0,876.0,8155.0,7158907.0,878.0,-2.00 
2020-09-15,79,893.0,871.0,878.0,8907.0,7808469.0,877.0,1.00 
2020-09-14,121,898.0,875.0,877.0,14532.0,12825311.0,887.0,-10.00 
2020-09-13,156,905.0,886.0,887.0,15841.0,14103108.0,888.0,-1.00 
2020-09-10,140,910.0,884.0,888.0,16844.0,15007018.0,886.0,2.00 
2020-09-09,167,890.0,866.0,886.0,15676.0,13817096.0,861.0,25.00 
2020-09-08,65,865.0,860.0,861.0,4741.0,4090099.0,863.0,-2.00 
2020-09-07,90,872.0,861.0,863.0,8127.0,7033035.0,868.0,-5.00 
2020-09-06,171,911.0,865.0,868.0,23533.0,20710817.0,877.0,-9.00 
2020-09-03,103,885.0,866.0,877.0,12188.0,10708038.0,880.0,-3.00 
2020-09-02,154,895.0,876.0,880.0,18596.0,16445726.0,880.0,0.00 
2020-08-31,181,916.0,865.0,880.0,24686.0,21708642.0,873.0,7.00 
2020-08-30,92,873.0,862.0,873.0,13472.0,11684362.0,881.0,-8.00 
2020-08-27,118,931.0,867.0,881.0,12960.0,11375052.0,887.0,-6.00 
2020-08-26,312,893.0,855.0,887.0,39552.0,34801065.0,855.0,32.00 
2020-08-25,90,860.0,848.0,855.0,13922.0,11850145.0,848.0,7.00 
2020-08-24,125,857.0,830.0,848.0,16418.0,13963940.0,840.0,8.00 
2020-08-23,64,840.0,816.0,840.0,6281.0,5208153.0,820.0,20.00 
2020-08-20,24,825.0,814.0,820.0,1367.0,1122825.0,814.0,6.00 
2020-08-19,70,825.0,814.0,814.0,6466.0,5280392.0,829.0,-15.00 
2020-08-18,50,840.0,811.0,829.0,3881.0,3204796.0,827.0,2.00 
2020-08-17,58,834.0,808.0,827.0,4831.0,3945140.0,818.0,9.00 
2020-08-16,97,827.0,797.0,818.0,10199.0,8340908.0,829.0,-11.00 
2020-08-13,218,844.0,825.0,829.0,19286.0,16033391.0,854.0,-25.00 
2020-08-12,56,855.0,840.0,854.0,9776.0,8288828.0,850.0,4.00 
2020-08-11,105,868.0,846.0,850.0,9671.0,8247064.0,859.0,-9.00 
2020-08-10,111,860.0,836.0,859.0,10765.0,9117864.0,833.0,26.00 
2020-08-09,46,835.0,816.0,833.0,4547.0,3747019.0,830.0,3.00 
2020-08-06,58,832.0,816.0,830.0,5442.0,4494151.0,833.0,-3.00 
2020-08-05,118,840.0,820.0,833.0,11793.0,9786668.0,845.0,-12.00 
2020-08-03,89,847.0,830.0,845.0,6995.0,5864741.0,837.0,8.00 
2020-08-02,187,860.0,831.0,837.0,18720.0,15784774.0,860.0,-23.00 
2020-07-30,113,870.0,855.0,860.0,9402.0,8092370.0,864.0,-4.00 
2020-07-29,172,879.0,850.0,864.0,23401.0,20183332.0,867.0,-3.00 
2020-07-28,105,882.0,865.0,867.0,14003.0,12162995.0,870.0,-3.00 
2020-07-27,195,889.0,868.0,870.0,29444.0,25802484.0,868.0,2.00 
2020-07-26,148,880.0,857.0,868.0,12607.0,10894715.0,860.0,8.00 
2020-07-23,62,870.0,845.0,860.0,7454.0,6395726.0,857.0,3.00 
2020-07-22,57,880.0,853.0,857.0,4505.0,3876349.0,863.0,-6.00 
2020-07-21,69,890.0,863.0,863.0,7125.0,6215340.0,860.0,3.00 
2020-07-20,121,965.0,854.0,860.0,11084.0,9809470.0,902.0,-42.00 
2020-07-19,7,902.0,865.0,902.0,1210.0,1071050.0,875.0,27.00 
2020-07-16,42,883.0,870.0,875.0,3101.0,2715069.0,866.0,9.00 
2020-07-15,86,900.0,865.0,866.0,14365.0,12650339.0,880.0,-14.00 
2020-07-14,102,881.0,863.0,880.0,15921.0,13879752.0,865.0,15.00 
2020-07-13,91,895.0,860.0,865.0,14608.0,12671467.0,861.0,4.00 
2020-07-12,65,900.0,853.0,861.0,12497.0,10793321.0,839.0,22.00 
2020-07-09,48,840.0,823.0,839.0,5194.0,4332008.0,835.0,4.00 
2020-07-08,41,860.0,830.0,835.0,4850.0,4074311.0,855.0,-20.00 
